,I-Count,Label(m0/f1)
392,7,1
393,4,0
394,1,1
395,1,1
396,4,0
397,22,0
398,8,1
399,38,0
400,16,1
401,0,0
402,7,0
403,4,0
404,3,0
405,0,0
406,2,0
407,2,0
408,1,0
409,2,0
410,2,1
411,2,0
412,11,0
413,2,1
414,3,0
415,0,0
416,2,0
417,1,1
418,9,1
419,2,0
420,45,1
421,7,0
422,2,0
423,2,0
424,4,0
425,0,0
426,0,0
427,0,0
428,2,0
429,0,0
430,1,0
431,0,0
432,0,0
433,0,0
434,2,0
435,16,1
436,0,0
437,0,0
438,21,1
439,1,0
440,4,0
441,3,0
442,3,0
443,0,0
444,51,1
445,24,1
446,1,1
447,4,0
448,0,1
449,7,0
450,0,0
451,3,0
452,5,1
453,32,1
454,4,0
455,1,0
456,7,1
457,1,0
458,26,1
459,0,1
460,10,0
461,14,0
462,14,0
463,7,1
464,1,0
465,1,0
466,33,1
467,33,0
468,3,1
469,8,0
470,20,0
471,0,1
472,13,0
473,7,0
474,21,0
475,1,1
476,19,0
477,0,0
478,2,0
479,1,0
480,3,1
481,0,0
482,2,0
483,1,0
484,3,0
485,4,0
486,31,1
487,2,0
488,0,0
489,5,1
490,0,0
491,1,0
492,1,1
493,0,0
494,26,0
495,1,0
496,4,1
497,1,0
498,0,0
499,56,0
500,5,0
501,0,1
502,1,1
503,1,0
504,1,0
505,4,0
506,0,0
507,7,1
508,10,1
509,3,0
510,1,1
511,0,1
512,0,0
513,0,0
514,4,0
515,1,0
516,6,0
517,1,0
518,0,0
519,0,0
520,0,0
521,4,0
522,0,0
523,2,1
524,5,1
525,2,0
526,0,0
527,6,0
528,21,1
529,1,0
530,22,0
531,4,1
532,3,0
533,6,0
534,8,1
535,1,0
536,42,0
537,0,0
538,7,0
539,3,0
540,0,0
541,1,0
542,1,0
543,0,1
544,1,0
545,13,0
546,0,0
547,56,0
548,12,1
549,0,0
550,0,0
551,2,0
552,0,0
553,7,0
554,3,0
555,0,1
556,0,1
557,6,0
558,0,0
559,0,1
560,1,0
561,1,0
562,9,0
563,4,0
564,1,1
565,0,1
566,2,0
567,0,0
568,3,0
569,2,1
570,6,0
571,3,0
572,3,0
573,0,0
574,1,1
575,0,0
576,12,1
577,6,0
578,0,0
579,9,0
580,1,0
581,2,1
582,0,0
583,2,0
584,0,0
585,0,1
586,3,1
587,9,1
588,4,0
589,30,0
590,0,0
591,18,1
592,2,0
593,15,0
594,33,0
595,0,0
596,4,1
597,0,0
598,17,1
599,36,1
600,2,0
601,3,0
602,19,1
603,0,0
604,0,0
605,4,0
606,1,0
607,0,0
608,0,0
609,0,0
610,12,1
611,6,0
612,0,1
613,5,0
614,1,0
615,1,0
616,0,0
617,0,0
618,5,0
619,0,0
620,0,0
621,8,0
622,25,1
623,0,1
624,14,0
625,1,0
626,6,0
627,1,0
628,4,0
629,3,0
630,10,1
631,3,0
632,6,0
633,2,1
634,9,1
635,0,0
636,0,0
637,45,0
638,0,0
639,0,0
640,0,0
641,1,0
642,4,0
643,3,0
644,1,0
645,4,1
646,1,0
647,23,1
648,1,0
649,8,1
650,6,0
651,4,0
652,0,1
653,0,0
654,2,0
655,9,1
656,0,1
657,6,0
658,11,1
659,6,1
660,2,0
661,2,0
662,2,0
663,3,0
664,0,0
665,3,0
666,11,0
667,15,1
668,24,1
669,12,0
670,1,0
671,0,0
672,4,1
673,1,0
674,1,0
675,9,0
676,1,0
677,0,0
678,2,0
679,4,0
680,2,0
681,7,0
682,4,0
683,1,0
684,30,0
685,0,1
686,8,0
687,11,1
688,5,1
689,1,0
690,0,0
691,2,0
692,4,0
693,1,1
694,38,1
695,2,0
696,13,1
697,0,1
698,2,0
699,2,1
700,0,0
701,0,1
702,0,0
703,0,0
704,0,0
705,2,0
706,0,0
707,2,0
708,2,0
709,1,1
710,15,0
711,18,0
712,2,0
713,4,1
714,5,0
715,41,0
716,4,1
717,25,1
718,1,0
719,0,1
720,4,0
721,1,0
722,3,0
723,0,0
724,1,0
725,1,0
726,0,1
727,2,0
728,0,0
729,0,0
730,18,1
731,0,0
732,2,1
733,2,0
734,0,0
735,1,1
736,1,0
737,0,1
738,0,1
739,0,1
740,0,0
741,1,0
742,0,0
743,0,0
744,1,0
745,3,0
746,2,0
747,21,1
748,0,0
749,2,0
750,3,0
751,3,1
752,1,1
753,3,0
754,0,0
755,3,0
756,30,0
757,0,0
758,9,0
759,22,0
760,4,0
761,0,0
762,0,1
763,3,1
764,1,0
765,16,0
766,1,0
767,24,0
768,4,0
769,1,0
770,1,0
771,7,0
772,1,0
773,36,1
774,4,0
775,6,0
776,14,0
777,0,0
778,24,1
779,0,1
780,0,0
781,26,1
782,6,0
783,1,1
784,3,0
785,1,1
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,4,0
792,1,0
793,15,1
794,0,0
795,1,0
796,0,0
797,7,0
798,9,0
799,1,0
800,1,0
801,2,0
802,4,0
803,72,1
804,1,0
805,4,0
806,2,0
807,3,0
808,1,0
809,2,0
810,4,0
811,0,0
812,21,1
813,4,0
814,0,1
815,2,0
816,1,0
817,1,0
818,4,0
819,9,0
820,0,1
821,0,0
822,42,1
823,1,0
824,1,0
825,56,0
826,13,0
827,0,0
828,3,0
829,0,0
830,0,0
831,1,0
832,3,0
833,0,0
834,0,0
835,3,0
836,14,0
837,2,0
838,1,0
839,2,0
840,0,1
841,36,1
842,7,0
843,13,0
844,1,1
845,1,0
846,5,1
847,0,1
848,0,0
849,0,0
850,11,0
851,1,0
852,14,1
853,11,0
854,0,0
855,1,0
856,40,1
857,1,0
858,19,0
859,0,0
860,0,1
861,0,1
862,0,0
863,26,0
864,1,0
865,13,0
866,0,1
867,11,1
868,0,0
869,3,0
870,3,0
871,21,1
872,0,0
873,1,0
874,1,1
875,14,1
876,0,0
877,0,1
878,0,1
879,3,0
880,1,0
881,3,0
882,28,0
883,6,1
884,1,0
885,0,1
886,2,0
887,1,0
888,1,1
889,1,0
890,11,1
891,16,0
892,14,0
893,7,0
894,16,1
895,2,0
896,3,0
897,0,0
898,26,0
899,2,0
900,0,0
901,2,1
902,3,0
903,7,0
904,6,0
905,17,0
906,23,0
907,0,0
908,38,1
909,0,0
910,3,0
911,21,0
912,14,0
913,4,1
914,1,1
915,23,1
916,0,1
917,0,0
918,7,1
919,3,0
920,1,0
921,0,0
922,0,0
923,0,1
924,9,1
925,1,0
926,5,0
927,1,1
928,14,0
929,6,0
930,1,0
931,2,0
932,1,1
933,4,0
934,0,0
935,6,1
936,4,0
937,3,0
938,68,1
939,5,1
940,1,0
941,15,1
942,0,1
943,42,1
944,0,0
945,0,0
946,4,1
947,0,0
948,3,0
949,2,1
950,1,1
951,1,0
952,5,1
953,0,0
954,14,1
955,0,0
956,1,0
957,0,0
958,0,0
959,0,0
960,4,0
961,0,0
962,4,1
963,5,0
964,7,1
965,4,0
966,8,0
967,5,0
968,2,0
969,0,1
970,0,1
971,4,0
972,0,1
973,1,0
974,0,0
975,21,1
976,1,0
977,4,0
978,3,0
979,0,0
980,1,1
981,1,0
982,0,0
983,3,0
984,0,1
985,0,0
986,35,0
987,2,0
988,0,0
989,0,1
990,4,0
991,1,0
992,0,0
993,2,0
994,0,0
995,0,0
996,18,0
997,5,0
998,0,0
999,0,0
1000,18,1
1001,0,0
1002,0,0
1003,6,1
1004,3,0
1005,3,0
1006,0,1
1007,1,0
1008,1,0
1009,1,1
1010,17,1
1011,0,0
1012,2,0
1013,7,0
1014,2,0
1015,4,0
1016,1,0
1017,0,0
1018,11,1
1019,11,1
1020,1,1
1021,0,0
1022,9,1
1023,6,0
1024,7,0
1025,0,0
1026,26,0
1027,2,0
1028,2,1
1029,0,0
1030,5,0
1031,10,0
1032,26,1
1033,1,1
1034,11,0
1035,0,1
1036,1,0
1037,7,0
1038,5,1
1039,9,0
1040,4,0
1041,0,1
1042,0,0
1043,8,0
1044,0,0
