Column1,I-Count,Label(m0/f1),SortKey
4433,4,0,0.061924702
162,0,0,0.062296008
4366,2,0,0.062669615
3969,2,0,0.062775818
3180,4,0,0.062815054
4916,2,0,0.062863898
299,61,1,0.062981951
458,26,1,0.063436423
4267,0,0,0.063451407
191,0,0,0.063495791
2150,1,0,0.063532307
2186,7,0,0.063639792
1256,14,0,0.063679089
3138,5,0,0.063751704
2816,1,0,0.063985473
946,4,1,0.064287007
2753,1,0,0.064292136
3708,17,1,0.06433915
1301,0,0,0.064640795
5291,0,0,0.065678222
3026,16,1,0.065791413
2210,3,0,0.065831597
1012,2,0,0.065876527
2464,0,1,0.065901615
4046,2,0,0.066304077
640,0,0,0.066476386
1854,9,0,0.066679712
1648,0,1,0.066694188
603,0,0,0.066932683
2238,1,0,0.06705652
3527,7,1,0.06714338
2119,9,0,0.067323442
4337,0,0,0.067653095
2450,0,0,0.067771712
792,1,0,0.06816584
1113,0,1,0.068396046
4295,5,0,0.068398718
5423,8,0,0.068421526
2925,0,0,0.068926859
3190,0,0,0.068965729
1402,6,0,0.069067518
2004,0,0,0.069236024
4524,4,1,0.069375768
839,2,0,0.069513243
88,10,0,0.06956479
2499,11,1,0.069651274
253,2,0,0.070112083
4666,2,0,0.070176721
3344,8,0,0.070230379
4448,3,1,0.070382957
4571,2,0,0.070799356
3605,0,0,0.070864975
625,1,0,0.070872037
600,2,0,0.071420585
969,0,1,0.071506751
131,0,0,0.071576539
5455,0,1,0.071872523
407,2,0,0.072589657
1771,8,1,0.072907454
3958,10,0,0.073041756
3235,12,0,0.073230116
362,4,0,0.073240522
2623,26,1,0.073524564
3401,1,0,0.073683449
1624,6,0,0.073684044
2035,1,0,0.074037479
2761,4,0,0.074058298
330,3,0,0.074397593
4373,57,1,0.074564785
1810,1,0,0.075430962
1570,32,0,0.075540834
3544,1,0,0.076611347
2889,3,1,0.076612265
4232,0,0,0.076660324
5159,1,1,0.076672948
3307,13,1,0.077017732
3863,1,1,0.077125244
3124,12,0,0.077153205
4417,2,0,0.077258679
2785,6,0,0.077326032
2860,7,1,0.077442236
4012,3,0,0.077890463
1079,1,1,0.078246509
4703,2,0,0.079022566
4860,2,0,0.079133574
3418,0,0,0.07930386
4900,33,1,0.079557655
921,0,0,0.079600637
3983,3,1,0.079620597
4147,10,1,0.079810924
3642,21,1,0.079842303
27,1,0,0.0799025
5352,0,0,0.079972161
435,16,1,0.080270446
1365,0,0,0.080978045
656,0,1,0.081295444
3846,3,0,0.081488264
4862,1,0,0.081587445
4784,10,1,0.081633185
3223,10,1,0.081814488
979,0,0,0.082047639
4751,1,1,0.082634867
2751,2,0,0.08277668
1813,1,0,0.083026307
1793,0,1,0.083964088
1100,4,0,0.08425554
2394,2,0,0.084495628
3281,3,0,0.084588513
1265,0,0,0.084836277
5126,13,1,0.08527849
4263,3,0,0.085287894
1914,0,1,0.085414043
2646,9,0,0.085554124
504,1,0,0.085598223
2222,2,0,0.085668664
5151,12,0,0.085834677
4279,2,1,0.086045609
2167,27,0,0.086399485
3739,53,0,0.086646507
2802,2,0,0.086790478
1381,2,0,0.086905603
1912,0,0,0.086943266
4697,10,0,0.087048622
3700,5,0,0.08710403
5238,13,0,0.087346906
2995,0,1,0.087395877
2347,2,0,0.087493414
5290,9,0,0.087524937
562,9,0,0.087684525
3331,5,1,0.087707392
4785,0,0,0.087736414
3809,1,0,0.087934132
1124,1,0,0.088136067
4569,1,0,0.088620326
4829,2,0,0.088626327
3701,9,0,0.088894887
5167,2,1,0.088971861
959,0,0,0.089084072
4627,11,1,0.089240999
5187,3,1,0.089425941
2079,9,1,0.089610084
3988,2,0,0.089910731
3658,1,1,0.090051611
188,3,0,0.090079258
1593,6,0,0.09052709
574,1,1,0.090539018
3797,1,0,0.090704203
672,4,1,0.090716101
859,0,0,0.090794809
3296,6,1,0.091018101
3391,12,0,0.091061545
812,21,1,0.091797892
1690,6,1,0.091887612
4444,1,1,0.091953565
3257,10,1,0.092244581
1149,3,1,0.092486991
3517,2,0,0.092546796
1259,7,0,0.092721176
3039,25,0,0.092752437
632,6,0,0.093133163
784,3,0,0.093777728
1435,2,1,0.093968864
68,0,0,0.09418286
2842,3,1,0.094449837
690,0,0,0.094865138
2911,0,0,0.095076913
2428,2,1,0.095317588
4040,0,1,0.095388126
2566,8,1,0.09543849
4170,0,0,0.095477259
4886,9,1,0.095486241
2721,1,0,0.095760378
601,3,0,0.09576236
306,4,0,0.095869117
3206,13,0,0.095939822
3639,5,0,0.095951418
4182,23,0,0.096025073
1412,0,0,0.096274574
1560,0,0,0.096520338
1075,2,0,0.097079734
3166,2,0,0.097628016
4175,1,0,0.097768173
4643,7,0,0.097815782
1300,2,0,0.09794324
1548,4,0,0.098620684
3546,17,0,0.098786265
382,11,1,0.098959684
3165,0,0,0.098999205
945,0,0,0.099318206
205,2,0,0.099409916
5302,0,0,0.099635696
2140,24,0,0.099920802
2622,2,0,0.099994677
3085,0,0,0.100063339
4453,6,0,0.100150111
